unique_id,service_request_id,service_category,service_type
c9160d59-ee8f-414d-aea3-80a4ed18b9ff,1,Category 2,Internal Connections
4891bfa0-38d9-4990-87cd-f36ad02d9a35,5,Category 2,Internal Connections
566bd3a7-d7cb-4b2d-bc48-a381ef3eb0d3,5,Category 2,Internal Connections
b4b466b3-44da-4048-9323-3db550444e34,6,Category 2,Internal Connections
fd67f93c-e104-4282-809b-d108125f72eb,6,Category 2,Internal Connections
1e01db78-906d-4bd0-9622-8f8c0fd62f51,2,Category 2,Basic Maintenance of Internal Connections
8e77dc11-c114-4b90-a59e-06150bb976f2,7,Category 2,Internal Connections
d1733869-5456-4740-8e5d-d4c112d5ed82,7,Category 2,Internal Connections
9cc32d2b-39dd-4bd0-9c33-a4cd3b31ede5,8,Category 2,Internal Connections
471b6ff1-7661-421e-b6b9-2dbbe307b495,8,Category 2,Internal Connections
a00daf94-8ee3-49b2-8088-2273918debc0,2,Category 2,Basic Maintenance of Internal Connections
2c33f4c5-d895-4f29-9103-a329f3ada8d6,9,Category 2,Internal Connections
b6811179-8173-4405-b779-2e20b5f92bce,9,Category 2,Internal Connections
95112b76-909d-49b4-9e47-5f5298992426,10,Category 2,Internal Connections
01a5ed46-fdda-4fd0-a3b3-7951076171a7,10,Category 2,Internal Connections
