unique_id,service_request_id,service_category,service_type
5f75e15a-5f78-4988-9fc7-78c012ec8863,1,Category 2,Internal Connections
9c50825d-3821-4692-9f1d-b9f570b96bf1,1,Category 1,Data Transmission and/or Internet Access
f54d6b92-d653-4ce1-bdae-ca47ec49a0e2,1,Category 1,Data Transmission and/or Internet Access
de6d7140-1c12-4ba0-ab06-e23079ee34fd,1,Category 2,Internal Connections
852312fa-c38f-4fd5-a413-a2ed8ee2d325,1,Category 1,Data Transmission and/or Internet Access
804b424c-0a92-473c-ae23-f94f7968b59b,1,Category 1,Data Transmission and/or Internet Access
0e79b5fd-8c66-45ef-ba37-e773b31b1c10,1,Category 2,Internal Connections
7e440af6-f1e8-4cce-806b-d9c08af8995f,1,Category 2,Internal Connections
e1501db4-e9b3-4707-9d7f-5f78f4e5e2c0,1,Category 2,Internal Connections
ed1db39e-2fff-4153-89da-fa943a6f798d,1,Category 1,Data Transmission and/or Internet Access
fdf1a05c-207c-49cb-a777-281e6c668ec0,1,Category 2,Internal Connections
9427d848-f529-47f5-b40e-e1d3cfbeccbc,4,Category 2,Internal Connections
e0ec74f3-535d-4559-b31c-cbf6018d6d73,1,Category 1,Data Transmission and/or Internet Access
ac61eda9-5232-4e59-8e8c-fd82a6395973,1,Category 2,Internal Connections
97c4e4f5-6dba-4e4a-9e20-fe8e9d856bdc,1,Category 1,Data Transmission and/or Internet Access
5a0b08ab-b365-477f-92ec-8d0b564d8cb0,1,Category 1,Data Transmission and/or Internet Access
8de9052d-5a79-4083-b2d6-b6fce8b08812,1,Category 2,Internal Connections
b27c2d95-30af-4bd8-b0ef-bb50b93d01fa,1,Category 2,Managed Internal Broadband Services
b2e57bda-35ba-4a27-b2d7-a6100a8435e7,1,Category 1,Data Transmission and/or Internet Access
d19cb742-cd24-45f4-8d48-d1bb0d4b6324,1,Category 2,Managed Internal Broadband Services
44518d7e-5e8a-4e39-88fa-f08abd3a31af,6,Category 2,Internal Connections
d86a2341-2c69-4114-ab8b-b54efd4d5e4c,1,Category 1,Data Transmission and/or Internet Access
a313dad6-7931-4ee6-889e-6680cf48ed49,1,Category 2,Internal Connections
69712fb1-7bd3-4781-aae7-03e12d196408,1,Category 1,Data Transmission and/or Internet Access
c0bd5846-7961-4a7d-9268-1f64639da6bf,1,Category 1,Data Transmission and/or Internet Access
6da0d3d0-ebd4-4b87-b248-b96db840f97d,1,Category 2,Internal Connections
689f914c-3941-4607-af09-ff77292e5731,1,Category 1,Data Transmission and/or Internet Access
c064bd71-34d5-4b87-91cc-a58b2d5ecc90,1,Category 1,Data Transmission and/or Internet Access
479dddc3-af4c-4832-9af6-1b8d00564705,1,Category 2,Internal Connections
57ea034e-970b-4b6d-acaa-afe88f833769,1,Category 1,Data Transmission and/or Internet Access
cf9b8879-9530-4ce5-bf0b-8c43bee98e5b,1,Category 1,Data Transmission and/or Internet Access
307dda10-0b5c-4f85-80c1-fcaac005a2d6,1,Category 2,Internal Connections
d7436b59-6349-44f1-8c4a-38f3985726a3,2,Category 2,Internal Connections
1ae9add1-84f9-4d24-abbd-1799a5b89383,1,Category 1,Data Transmission and/or Internet Access
ca295dd1-d5b3-4a9e-9cb6-cc6f4061c57a,1,Category 2,Internal Connections
44781e70-ccab-4f5b-a39c-690406ded2ea,1,Category 2,Internal Connections
dcdc9ff1-6b5b-4953-90ee-9a10e7bb0819,1,Category 2,Internal Connections
19e6427e-52a7-45c4-8923-a877e26ae7c8,1,Category 1,Data Transmission and/or Internet Access
e298f404-4a11-4a0e-8572-98d046ee0fa3,1,Category 1,Data Transmission and/or Internet Access
7c8612e4-8b5f-403d-b4f0-aae41558eee7,1,Category 2,Internal Connections
3323ed61-12f6-47ef-9bf1-c4983bad8181,1,Category 1,Data Transmission and/or Internet Access
d655dd03-229b-4382-a675-f243bad24cd5,1,Category 1,Data Transmission and/or Internet Access
783e35d6-bcec-42cf-a687-7b35ef9da13c,1,Category 2,Internal Connections
62b13cd1-6f12-471a-811a-1b18d8f72ff2,1,Category 1,Data Transmission and/or Internet Access
ab14d82d-80b9-4fda-a044-72d77dff0662,1,Category 2,Internal Connections
0ffbb04e-dd20-40e7-b0d2-35a5dc289046,1,Category 1,Data Transmission and/or Internet Access
b6c057c0-16e2-43ae-9e76-fec0f525bf31,1,Category 1,Data Transmission and/or Internet Access
407cb2e5-3341-4905-9e55-052bc5bb5c67,1,Category 2,Internal Connections
b6db08c8-ac77-4904-bf7f-3d2aa0466b3f,1,Category 1,Data Transmission and/or Internet Access
7cbd2f70-fe29-43b7-ae17-454582025f5f,1,Category 1,Data Transmission and/or Internet Access
53c0f4c3-6278-4a61-9cbb-693346cb5663,1,Category 2,Internal Connections
b1b511e3-16a0-41a6-b2b8-ddcf74a361fc,1,Category 2,Internal Connections
75d461c2-1dd5-4129-b1b5-45f6c13b7074,2,Category 1,Data Transmission and/or Internet Access
880d9978-ac62-4a2f-8d2a-717017c3e581,1,Category 1,Data Transmission and/or Internet Access
708c5607-b0d9-4f54-83e3-7cd2ac25fd28,1,Category 2,Managed Internal Broadband Services
4428c4e6-5953-4b70-befa-1a6cbca1800f,1,Category 1,Data Transmission and/or Internet Access
239bac80-c291-4327-8591-c04990463315,1,Category 2,Internal Connections
0b9f08d2-fa48-47de-8901-a5b3e1c0da4e,1,Category 1,Data Transmission and/or Internet Access
1a96ab53-9d71-4879-a83f-42581b672510,1,Category 1,Data Transmission and/or Internet Access
